Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators
ref78,cid4641954,Artifacts,Blotters,"Lit, Samuel and Lit, Jacob. Philadelphia, PA, Blotter used as ad for Lit Brothers",Blotter used as ad for Lit Brothers,"Lit, Samuel","Lit, Jacob",,"Philadelphia, PA",1910,Drawer,Mixed materials,Blotters,Folder,1,doc_bl_1_1r.tif.tif; doc_bl_1_1v.tif
ref79,cid4641953,Artifacts,Blotters,"Lit, Samuel and Lit, Jacob. Philadelphia, PA, Blotter used as ad for Lit Brothers",Blotter used as ad for Lit Brothers,"Lit, Samuel","Lit, Jacob",,"Philadelphia, PA",1885,Drawer,Mixed materials,Blotters,Folder,8,doc_bl_8_1r.tif; doc_bl_8_1v
ref80,cid4641952,Artifacts,Blotters,"Lubow Bros. Pittsburgh, PA, Blotter used as ad for Lubow Bros., suits, top coats, overcoats","Blotter used as ad for Lubow Bros., suits, top coats, overcoats",,,Lubow Bros.,"Pittsburgh, PA",1900,Drawer,Mixed materials,Blotters,Folder,3,doc_bl_3_1r.tif; doc_bl_3_1v.tif
ref81,cid4641951,Artifacts,Blotters,"Mishler. Altoona, PA",,,,Mishler,"Altoona, PA",1900,Drawer,Mixed materials,Blotters,Folder,18,doc_bl_18_1r.tif; doc_bl_18_1v.tif
ref82,cid4641950,Artifacts,Blotters,"R. J. Strasenburgh. Rochester, NY, Blotter of Emul. O. Balm and Guiabalm",Blotter of Emul. O. Balm and Guiabalm,,,R. J. Strasenburgh,"Rochester, NY",1900,Drawer,Mixed materials,Blotters,Folder,7,doc_bl_7_1r.tif; doc_bl_7_1v.tif
ref83,cid4641949,Artifacts,Blotters,"Reineberg and Lee. York, PA, Blotter for Lee Reineberg's Boot shop",Blotter for Lee Reineberg's Boot shop,,,Reineberg and Lee,"York, PA",1900,Drawer,Mixed materials,Blotters,Folder,21,doc_bl_21_1r.tif; doc_bl_21_1v.tif
ref84,cid4641948,Artifacts,Blotters,"Rosenblatt, A. and Rosenblatt, J. Philadelphia, PA, Blotter used as advertising object for A. and J. Rosenblatt, who prescribe and make glasses","Blotter used as advertising object for A. and J. Rosenblatt, who prescribe and make glasses","Rosenblatt, A.","Rosenblatt, J.",,"Philadelphia, PA",1885,Drawer,Mixed materials,Blotters,Folder,22,doc_bl_22_1r.tif; doc_bl_22_1v.tif
ref85,cid4641947,Artifacts,Blotters,"Rubinstein's. West Chester, Pa, Blotter for stationery and sporting goods store",Blotter for stationery and sporting goods store,,,Rubinstein's,"West Chester, Pa",undated,Drawer,Mixed materials,Blotters,Folder,15,doc_bl_15_1r.tif; doc_bl_15_1v.tif
ref86,cid4641946,Artifacts,Blotters,"Schloss Bros. Baltimore, MD, Blotter advertising Schloss Bros., clothiers","Blotter advertising Schloss Bros., clothiers",,,Schloss Bros.,"Baltimore, MD",1900,Drawer,Mixed materials,Blotters,Folder,17,doc_bl_17_1r.tif; doc_bl_17_1v.tif
ref87,cid4641945,Artifacts,Blotters,"Simon Baer's Sons. Wheeling, WV, Blotter for grocers",Blotter for grocers,,,Simon Baer's Sons,"Wheeling, WV",undated,Drawer,Mixed materials,Blotters,Folder,11,doc_bl_11_1r.tif; doc_bl_11_1v.tif
ref88,cid4641944,Artifacts,Blotters,"Sophie Tucker. New York, NY",,,,Sophie Tucker,"New York, NY",undated,Drawer,Mixed materials,Blotters,Folder,19,doc_bl_19_1r.tif; doc_bl_19_1v.tif
ref89,cid4641943,Artifacts,Blotters,"Weber's Alpine Tea. United States, Calendar with month advertising Weber's alpine tea in Italian, Yiddish and English","Calendar with month advertising Weber's alpine tea in Italian, Yiddish and English",,,Weber's Alpine Tea,United States,1910,Drawer,Mixed materials,Blotters,Folder,13,doc_bl_13_1r.tif; doc_bl_13_1v.tif
ref91,cid4641942,Artifacts,Objects,"American Jewry. Jerusalem, Israel, Hanukka 1994 Mintset",Hanukka 1994 Mintset,,,American Jewry,"Jerusalem, Israel",1994,Drawer,Mixed materials,International,Folder,26,doc_in_26_1r.tif; doc_in_26_1v.tif; doc_in_26_1v_a.tif; doc_in_26_2r.tif; doc_in_26_2v.tif; doc_in_26_3r.tif; doc_in_26_3r_a.tif; doc_in_26_3v.tif
ref92,cid4641941,Artifacts,Objects,"Berry, Wisner and Lohman. New York, NY, Drinking mug",Drinking mug,,,"Berry, Wisner and Lohman","New York, NY",1910,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 463,doc_bhl_nyc_463_1r.tif; doc_bhl_nyc_463_1v.tif
ref93,cid4641940,Artifacts,Objects,"Beth Zekeinim. Jerusalem, Palestine",,,,Beth Zekeinim,"Jerusalem, Palestine",undated,Drawer,Mixed materials,Montefiore,Folder,34,doc_mnt_34_1r.tif; doc_mnt_34_1v.tif
ref94,cid4641939,Artifacts,Objects,"Bloom, Moses. Iowa City, IA, A brass shell advertising mirror",A brass shell advertising mirror,"Bloom, Moses",,,"Iowa City, IA",1865,Drawer,Mixed materials,Judaica Americana,Folder,IA 88,doc_ja_ia_88_1r.tif; doc_ja_ia_88_1v.tif
ref95,cid4641938,Artifacts,Objects,"Breslauer, Moses and Co. Georgetown, SC, Billhead from the firm of Breslauer, Moses and Co","Billhead from the firm of Breslauer, Moses and Co",,,"Breslauer, Moses and Co.","Georgetown, SC",1883 December 17,Drawer,Mixed materials,Billheads Post-1880,Folder,SC 834,doc_bhl_sc_834_1r.tif; doc_bhl_sc_834_1v.tif
ref96,cid4641937,Artifacts,Objects,"Carvalho, Isaac N. Philadelphia, PA, Ad painted on tin for La Flor de Carvalhlo Havana Cigars",Ad painted on tin for La Flor de Carvalhlo Havana Cigars,"Carvalho, Isaac N.",,,"Philadelphia, PA",1900,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 8,doc_ja_phil_8_1r.tif; doc_ja_phil_8_1v.tif; doc_ja_phil_8_1v_a.tif; doc_ja_phil_8_1v_b.tif; doc_ja_phil_8_2v.tif
ref97,cid4641936,Artifacts,Objects,"Cohen, H. Salem, OH, Advertising cloth wallet",Advertising cloth wallet,"Cohen, H.",,,"Salem, OH",1892,Drawer,Mixed materials,Billheads Post-1880,Folder,OH 744,doc_bhl_oh_744_1r.tif; doc_bhl_oh_744_1v.tif
