	Jonathan Edwards	Benjamin Franklin	George Washington	James Logan	John Adams	Massachusetts Bay Colony	Richard Mather	Thomas Jefferson	William Byrd
Wilhelm Schickard	0	0	0	0.1	0	0	0.2	0	0
Willem Surenhuys	0	0	0	0	0	0	0.1	0	0
William Ainsworth	0	0	0	0	0	0	0.1	0	0
William Bedell	0	0	0	0	0	0	0	0.1	0
William Dunlap	0	0	0.1	0	0	0	0	0	0
William Eyre	0	0	0	0	0	0	0	0.1	0
William Gouge	0	0	0	0	0.1	0	0	0	0
William Gwinn Mather	0	0	0	0	0.1	0	0	0	0
William Hooke	0	0.1	0	0	0	0	0	0	0
William Paley	0	0	0	0	0	0	0	0.1	0
William Robertson	0	0	0	0.7	0	0	0.1	0	0.1
William Rollinson	0	0	0.1	0	0	0	0	0	0
William Whiston	0	0	0	0.6	0	0	0	0	0.1
William Wollaston	0	0	0	0.2	0	0	0	0.1	0.1
William Wotton	0	0	0	0.1	0	0	0	0	0
Witelo	0	0	0	0.1	0	0	0	0	0
Yom Tov Lipmann ben Nathan ha-Levi ben Wallerstein Heller	0	0	0	0.1	0	0	0	0	0
"Montalto, Elijah"	0	0	0	0.2	0	0	0	0	0
"Tartas, David"	0	0	0	0.1	0	0	0	0	0
John Marsham	0	0	0	0	0	0	0	0	0.1
Charles Leslie	0	0	0	0	0	0	0	0	0.1
Richard Kidder	0	0	0	0	0	0	0	0	0.1
Andrew Willet	0	0	0	0	0	0	0	0	0.1
Richard Grey	0	0	0	0	0	0	0	0	0.1
Joseph ben Abraham Athias	0	0	0	0	0	0	0	0	0.1
Benjamin de TudeÌ€le	0	0	0	0	0	0	0	0	0.2
TheÌÅodore de BeÌ€ze	0	0	0	0	0	0	0	0	0.2
Isaac de La PeyreÌ€re	0	0	0	0	0	0	0	0	0.1
Moses Wall	0	0	0	0	0	0	0	0	0.1
Jacques Basnage	0	0	0	0	0	0	0	0	0.1
FrancÌ§ois Du Jon	0	0	0	0	0	0	0	0	0.1
