Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators,,,,,
ref227,cid4641812,Documents,Billheads,"B. Eckstein & Co. New York, NY, Billhead from B. Eckstein and Co",Billhead from B. Eckstein and Co,,,B. Eckstein & Co.,"New York, NY",1893 March 1,Drawer,Mixed materials,Billheads Post-1880,Folder,NYC 486,doc_bhl_nyc_486_1r.tif; doc_bhl_nyc_486_1v.tif,,,,Billheads,
ref228,cid4641811,Documents,Billheads,"B. Selig and Co. Philadelphia, PA, Billhead from B. Selig and Co",Billhead from B. Selig and Co,,,B. Selig and Co.,"Philadelphia, PA",1896 April 29,Drawer,Mixed materials,Billheads Post-1880,Folder,PHIL 772,doc_bhl_phil_772_1r.tif; doc_bhl_phil_772_1v.tif,,,,Billheads,
ref229,cid4641810,Documents,Billheads,"B. Selig and Co. Philadelphia, PA, Billhead from B. Selig and Co., knee pants department","Billhead from B. Selig and Co., knee pants department",,,B. Selig and Co.,"Philadelphia, PA",1899 April 3,Drawer,Mixed materials,Billheads Post-1880,Folder,PHIL 773,doc_bhl_phil_773_1r.tif; doc_bhl_phil_773_1v.tif,,,,Billheads,
ref230,cid4641809,Documents,Billheads,"B. Selig and Co. Philadelphia, PA, Billhead from B. Selig and Co., knee pants department","Billhead from B. Selig and Co., knee pants department",,,B. Selig and Co.,"Philadelphia, PA",1899 April 3,Drawer,Mixed materials,Billheads Post-1880,Folder,PHIL 778,doc_bhl_phil_778_1r.tif; doc_bhl_phil_778_1v.tif,,,,Billheads,
ref231,cid4641808,Documents,Billheads,"Backus, M. M. New York, NY",,"Backus, M. M.",,,"New York, NY",1879 November 29,Drawer,Mixed materials,Billheads Pre-1880,Folder,NYC 1046,doc_bhe_nyc_1046_1r.tif; doc_bhe_nyc_1046_1v.tif,,,,Billheads,"Backus, M. M."
ref232,cid4641807,Documents,Billheads,"Baer, Levy and Co. Union, OR, Bill for Baer, Levy and Co. Dry Goods","Bill for Baer, Levy and Co. Dry Goods","Baer, Levy and Co.",,,"Union, OR",1880 December 8,Drawer,Mixed materials,Billheads Pre-1880,Folder,OR 2016,doc_bhe_or_2016_1r.tif; doc_bhe_or_2016_1v.tif,,,,Billheads,"Baer, Levy and Co."
ref233,cid4641806,Documents,Billheads,"Baker, Ostheimer and Co. Erie, PA, Billhead from Baker and Ostheimer, manufacturing clothiers. Includes a very detailed list of many items with prices","Billhead from Baker and Ostheimer, manufacturing clothiers. Includes a very detailed list of many items with prices",,,"Baker, Ostheimer and Co.","Erie, PA",1891 August 19,Drawer,Mixed materials,Billheads Post-1880,Folder,PA 762,doc_bhl_pa_762_1r.tif; doc_bhl_pa_762_1v.tif,,,,Billheads,
ref234,cid4641805,Documents,Billheads,"Baker, Ostheimer and Co. Erie, PA, Billhead from Baker, Ostheimer and Co., manufacturing clothiers","Billhead from Baker, Ostheimer and Co., manufacturing clothiers",,,"Baker, Ostheimer and Co.","Erie, PA",1891 March 24,Drawer,Mixed materials,Billheads Post-1880,Folder,PA 757,doc_bhl_pa_757_1r.tif; doc_bhl_pa_757_1v.tif,,,,Billheads,
ref235,cid4641804,Documents,Billheads,"Bamberger, Bloom and Co. Louisville, KY, Bill for Bamberger, Bloom and Co.: Wholesale dry goods, notions and gents furnishing goods","Bill for Bamberger, Bloom and Co.: Wholesale dry goods, notions and gents furnishing goods",,,"Bamberger, Bloom and Co.","Louisville, KY",1887 June 10,Drawer,Mixed materials,Billheads Post-1880,Folder,KY 229,doc_bhl_ky_229_1r.tif; doc_bhl_ky_229_1v.tif,,,,Billheads,
ref236,cid4641803,Documents,Billheads,"Bamberger, H. Philadelphia, PA, Bill for H. Bamberger and Co.: Teas and Coffees",Bill for H. Bamberger and Co.: Teas and Coffees,"Bamberger, H.",,,"Philadelphia, PA",1869 April 21,Drawer,Mixed materials,Billheads Pre-1880,Folder,PH 2074,doc_bhe_ph_2074_1r.tif; doc_bhe_ph_2074_1v.tif,,,,Billheads,"Bamberger, H."
