Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators,,,,,
ref1691,cid4640358,Documents,Court records,"Cardoza, Albert. New York, NY, James Fisks railroad related case, signed by Albert Cardoza, New York state supreme court justice","James Fisks railroad related case, signed by Albert Cardoza, New York state supreme court justice","Cardoza, Albert",,,"New York, NY",1868 January 25,Folder,Mixed materials,Binder H,Page,3,lbr_fh_s3_1r.tif; lbr_fh_s3_1v.tif,,,,Court records,"Cardoza, Albert"
ref1692,cid4640357,Documents,Court records,"Cardozo and Lazarus, Michael. Charleston, SC, Hand written report from a rail road lawyer to the President of the South Western Rail Road Bank naming each person, the date a judgment was obtained against him, and the amount of the verdict","Hand written report from a rail road lawyer to the President of the South Western Rail Road Bank naming each person, the date a judgment was obtained against him, and the amount of the verdict",Cardozo,"Lazarus, Michael",,"Charleston, SC",1855 February 1,Drawer,Mixed materials,Judaica Americana Oversize,Folder,83,doc_jal_83_1r.tif; doc_jal_83_1v.tif; doc_jal_83_2r.tif; doc_jal_83_2v.tif,,,,Court records,Cardozo
ref1693,cid4640356,Documents,Court records,"Cohen Jr., Jacob I. Baltimore, MD, Group of three documents, from Baltimore, Maryland, dated September, 1861, all pertaining to a lawsuit brought by Thomas Phillips against Jacob I. Cohen, Jr., in which Phillips sues over $2500 worth of store merchandise and fixtures","Group of three documents, from Baltimore, Maryland, dated September, 1861, all pertaining to a lawsuit brought by Thomas Phillips against Jacob I. Cohen, Jr., in which Phillips sues over $2500 worth of store merchandise and fixtures","Cohen Jr., Jacob I.",,,"Baltimore, MD",1861 September 9,Drawer,Mixed materials,Judaica Americana,Folder,MD 174,doc_ja_md_174_1r.tif; doc_ja_md_174_1v.tif,,,,Court records,"Cohen Jr., Jacob I."
ref1694,cid4640355,Documents,Court records,"Cohen, David Daniel. Charleston, SC, Land transaction of David Daniel Cohen selling land from his plantation known as Soliders' Retreat",Land transaction of David Daniel Cohen selling land from his plantation known as Soliders' Retreat,"Cohen, David Daniel",,,"Charleston, SC",1855,Drawer,Mixed materials,Judaica Americana,Folder,SC 555,doc_ja_sc_555_1r.tif; doc_ja_sc_555_1v.tif,,,,Court records,"Cohen, David Daniel"
ref1695,cid4640354,Documents,Court records,"Cohen, H. Philadelphia, PA, Claim filed by the M.M. Marple Company of Philadelphia against the estate of one H. Cohen (Deceased)",Claim filed by the M.M. Marple Company of Philadelphia against the estate of one H. Cohen (Deceased),"Cohen, H.",,,"Philadelphia, PA",1867 November 26,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 13,doc_ja_phil_13_1r.tif; doc_ja_phil_13_2r.tif; doc_ja_phil_13_2v.tif,,,,Court records,"Cohen, H."
ref1696,cid4640353,Documents,Court records,"Cohen, Magnus and Cohen, Arnoleine. Baltimore, MD, Offical documents for travel from Hanover, Germany to Baltimore, Maryland","Offical documents for travel from Hanover, Germany to Baltimore, Maryland","Cohen, Magnus","Cohen, Arnoleine",,"Baltimore, MD",1851 June 8,Drawer,Mixed materials,Judaica Americana Oversize,Folder,14,doc_jal_14_1r.tif; doc_jal_14_1v.tif; doc_jal_14_2r.tif; doc_jal_14_2v.tif,,,,Court records,"Cohen, Magnus"
ref1697,cid4640352,Documents,Court records,"Cohen, N. A. Pasquotank County, NC, 158 year old document of arrest from Pasquotank County. Samuel Meads is being arrested for a $1.00 debt owed N.A. Cohen",158 year old document of arrest from Pasquotank County. Samuel Meads is being arrested for a $1.00 debt owed N.A. Cohen,"Cohen, N. A.",,,"Pasquotank County, NC",1852 July 8,Drawer,Mixed materials,Judaica Americana,Folder,NC 412,doc_ja_nc_412_1r.tif; doc_ja_nc_412_1v.tif,,,,Court records,"Cohen, N. A."
ref1698,cid4640351,Documents,Court records,"Cohen, Nathan A. Charleston, SC, Court record of a civil case brought by the bank of the state of South Carolina",Court record of a civil case brought by the bank of the state of South Carolina,"Cohen, Nathan A.",,,"Charleston, SC",1853 March 14,Drawer,Mixed materials,Judaica Americana,Folder,SC 565,doc_ja_sc_565_1r.tif; doc_ja_sc_565_1v.tif,,,,Court records,"Cohen, Nathan A."
ref1699,cid4640350,Documents,Court records,"Cohen, Nathan A. Charleston, SC, This document is a mortgage dispute agains Nathan A. Cohen, twice signed by James Simons, a brigadier general in the South Carolina Militia","This document is a mortgage dispute agains Nathan A. Cohen, twice signed by James Simons, a brigadier general in the South Carolina Militia","Cohen, Nathan A.",,,"Charleston, SC",1855 September 22,Drawer,Mixed materials,Judaica Americana,Folder,SC 561,doc_ja_sc_561_1r.tif; doc_ja_sc_561_1v.tif; doc_ja_sc_561_2r.tif; doc_ja_sc_561_2v.tif,,,,Court records,"Cohen, Nathan A."
ref1700,cid4640349,Documents,Court records,"Cohen, Philip Jacob. Charleston, SC, A remarkable document issued in Charleston, Carolina, granting freedom to a slave named Peter in 1807. The document is signed by Philip Jacob Cohen (1781-1866) and is the earliest known American slave emancipation document where a Jew is involved","A remarkable document issued in Charleston, Carolina, granting freedom to a slave named Peter in 1807. The document is signed by Philip Jacob Cohen (1781-1866) and is the earliest known American slave emancipation document where a Jew is involved","Cohen, Philip Jacob",,,"Charleston, SC",1807 March 11,Drawer,Mixed materials,Judaica Americana,Folder,SC 558,doc_ja_sc_558_1r.tif; doc_ja_sc_558_1v.tif,,,,Court records,"Cohen, Philip Jacob"
ref1701,cid4640348,Documents,Court records,"Cohen, S. E. Harpers Ferry, VA, Printed and hand filled judgement against S. E. Cohen by Henrietta Young for $7.85",Printed and hand filled judgement against S. E. Cohen by Henrietta Young for $7.85,"Cohen, S. E.",,,"Harpers Ferry, VA",1847 July 7,Drawer,Mixed materials,Judaica Americana,Folder,VA 634,doc_ja_va_634_1r.tif; doc_ja_va_634_1v.tif,,,,Court records,"Cohen, S. E."
ref1702,cid4640347,Documents,Court records,"Cohen, Thomas. St. Louis, MO, Petition to sub-divide land, signed by Thomas Cohen as a commissioner of the city","Petition to sub-divide land, signed by Thomas Cohen as a commissioner of the city","Cohen, Thomas",,,"St. Louis, MO",1835 November 20,Drawer,Mixed materials,Judaica Americana,Folder,MO 276,doc_ja_mo_276_1r.tif; doc_ja_mo_276_1v.tif,,,,Court records,"Cohen, Thomas"
ref1703,cid4640346,Documents,Court records,"Cohen. Minneapolis, MN, Printed and hand filled mortgage by the firm of Kitchel, Cohen and Shaw","Printed and hand filled mortgage by the firm of Kitchel, Cohen and Shaw",Cohen,,,"Minneapolis, MN",1895 March 5,Drawer,Mixed materials,Billheads Post-1880,Folder,MN 310,doc_bhl_mn_310_1r.tif; doc_bhl_mn_310_1v.tif; doc_bhl_mn_310_2r.tif; doc_bhl_mn_310_2v.tif; doc_bhl_mn_310_3r.tif; doc_bhl_mn_310_3v,,,,Court records,Cohen
ref1704,cid4640345,Documents,Court records,"David T. Valentine and Gunther, Charles Godfry. New York, NY, Certifies the election of a councilman, signed by David T. Valentine and Gunther Charles Godfry","Certifies the election of a councilman, signed by David T. Valentine and Gunther Charles Godfry",David T. Valentine,"Gunther, Charles Godfry",,"New York, NY",1865 December 19,Folder,Mixed materials,Binder J,Page,13,lbr_fj_s13_1r.tif; lbr_fj_s13_1v.tif; lbr_fj_s13_2r.tif; lbr_fj_s13_2v.tif,,,,Court records,David T. Valentine
ref1705,cid4640344,Documents,Court records,"Davidson, Asher. Lycoming County, PA, Court document ordering Asher Davidson to pay $7.00",Court document ordering Asher Davidson to pay $7.00,"Davidson, Asher",,,"Lycoming County, PA",1855 June 4,Drawer,Mixed materials,Montefiore,Folder,8,doc_mnt_8_1r.tif; doc_mnt_8_1v.tif,,,,Court records,"Davidson, Asher"
ref1706,cid4640343,Documents,Court records,"Davis, Solomon. Charleston, SC, Bill of sale for slaves filled and signed by Solomon Davis, a Richmond, Virginia Jewish slave dealer","Bill of sale for slaves filled and signed by Solomon Davis, a Richmond, Virginia Jewish slave dealer","Davis, Solomon",,,"Charleston, SC",1848 February 12,Folder,Mixed materials,Binder A,Page,28,lbr_fa_s28_1r.tif; lbr_fa_s28_1v.tif,,,,Court records,"Davis, Solomon"
ref1707,cid4640342,Documents,Court records,"Dropsie, Moses Aaron. Philadelphia, PA, Document docketed by Moses Dropsie",Document docketed by Moses Dropsie,"Dropsie, Moses Aaron",,,"Philadelphia, PA",1860 October 8,Drawer,Mixed materials,Judaica Americana Oversize,Folder,73,doc_jal_73_1r.tif; doc_jal_73_1v.tif; doc_jal_73_2r.tif; doc_jal_73_2v.tif,,,,Court records,"Dropsie, Moses Aaron"
ref1708,cid4640341,Documents,Court records,"Elsberg, Gustave and Amberg, Jacob. Sante Fe, NM, Document relating to receiver fees in the case of Gustave Elsberg vs Jacob Amberg, signed by Joseph G. Palen, chief justice of the supreme court of the territory of New Mexico","Document relating to receiver fees in the case of Gustave Elsberg vs Jacob Amberg, signed by Joseph G. Palen, chief justice of the supreme court of the territory of New Mexico","Elsberg, Gustave","Amberg, Jacob",,"Santa Fe, NM",1874 March 3,Folder,Mixed materials,Binder G,Page,23,lbr_fg_s23_1r.tif; lbr_fg_s23_1v.tif; lbr_fg_s23_2r.tif; lbr_fg_s23_2v.tif,,,,Court records,"Elsberg, Gustave"
ref1709,cid4640340,Documents,Court records,"Engelmeyer, Solomon. Baltimore, MD, Elaborate pawn brokers license issue",Elaborate pawn brokers license issue,"Engelmeyer, Solomon",,,"Baltimore, MD",1855 May 10,Folder,Mixed materials,Binder G,Page,24,lbr_fg_s24_1r.tif; lbr_fg_s24_1v.tif,,,,Court records,"Engelmeyer, Solomon"
ref1710,cid4640339,Documents,Court records,"Fielder, Israel. Baltimore, MD, Court record signed twice by Israel Fielder",Court record signed twice by Israel Fielder,"Fielder, Israel",,,"Baltimore, MD",1825 December 4,Folder,Mixed materials,Binder H,Page,22,lbr_fh_s22_1r.tif; lbr_fh_s22_1v.tif,,,,Court records,"Fielder, Israel"
ref1711,cid4640338,Documents,Court records,"Fleishman, Samuel. Marianna, FL, An important group of three documents chronicling a series of horrific events in Marianna, Jackson County, Florida during which whites and blacks indiscriminately murdered one another during 1869 as a result of the Federal government interfering in local politics. the documents deal with the murder of Samuel Fleishman the operator of a local general store","An important group of three documents chronicling a series of horrific events in Marianna, Jackson County, Florida during which whites and blacks indiscriminately murdered one another during 1869 as a result of the Federal government interfering in local politics. the documents deal with the murder of Samuel Fleishman the operator of a local general store","Fleishman, Samuel",,,"Marianna, FL",1869 September 28,Drawer,Mixed materials,Judaica Americana Oversize,Folder,4,doc_jal_4_1r.tif; doc_jal_4_1v.tif; doc_jal_4_2r.tif; doc_jal_4_2v.tif; doc_jal_4_3r.tif; doc_jal_4_3v.tif; doc_jal_4_4r.tif; doc_jal_4_4v.tif; doc_jal_4_5r.tif; doc_jal_4_5v.tif; doc_jal_4_6r.tif; doc_jal_4_6v.tif; doc_jal_4_7r.tif; doc_jal_4_7v.tif; doc_jal_4_8r.tif; doc_jal_4_8v.tif,,,,Court records,"Fleishman, Samuel"
ref1712,cid4640337,Documents,Court records,"Florance, Jacob and Florance, Jacob Levy, Mrs. New Orleans, LA, Printed copy of the final estate settlement for Jacob Florance and his wife, Mrs. Jacob Levy Florance","Printed copy of the final estate settlement for Jacob Florance and his wife, Mrs. Jacob Levy Florance","Florance, Jacob","Florance, Jacob Levy, Mrs.",,"New Orleans, LA",1872 January 24,Drawer,Mixed materials,Judaica Americana,Folder,LA 129,doc_ja_la_129_1r.tif; doc_ja_la_129_1v.tif; doc_ja_la_129_2r.tif; doc_ja_la_129_2v.tif; doc_ja_la_129_3r.tif; doc_ja_la_129_3v.tif; doc_ja_la_129_4r.tif; doc_ja_la_129_4v.tif; doc_ja_la_129_5r.tif; doc_ja_la_129_5v.tif; doc_ja_la_129_6r.tif; doc_ja_la_129_6v.tif; doc_ja_la_129_7r.tif; doc_ja_la_129_7v.tif; doc_ja_la_129_8r.tif; doc_ja_la_129_8v.tif,,,,Court records,"Florance, Jacob"
ref1713,cid4640336,Documents,Court records,"Frank and Adler. Cumberland, MD, Court Document concerning the criminal case of the State of Maryland against Christian Nahring, who is in jail, charged with stealing two parasols from Frank and Adler","Court Document concerning the criminal case of the State of Maryland against Christian Nahring, who is in jail, charged with stealing two parasols from Frank and Adler",,,Frank and Adler,"Cumberland, MD",1853 June 10,Drawer,Mixed materials,Judaica Americana,Folder,LA 162,doc_ja_la_162_1r.tif; doc_ja_la_162_1v.tif,,,,Court records,
ref1714,cid4640335,Documents,Court records,"Franks, David and Lipman, Lyon. Philadelphia, PA, An account bill by Philadelphia merchant John Wister for fabric and clothing articles and other goods purchased by Lyon Lepman",An account bill by Philadelphia merchant John Wister for fabric and clothing articles and other goods purchased by Lyon Lepman,"Franks, David","Lipman, Lyon",,"Philadelphia, PA",1746 October 3,Drawer,Mixed materials,Judaica Americana Oversize,Folder,69,doc_jal_69_1r.tif; doc_jal_69_1v.tif,,,,Court records,"Franks, David"
ref1715,cid4640334,Documents,Court records,"Ginsburg, Ruth Bader. Washington, DC, Signed, autographed document of Ruth Bader Ginsburg's chamber card","Signed, autographed document of Ruth Bader Ginsburg's chamber card","Ginsburg, Ruth Bader",,,"Washington, DC",1998,Folder,Mixed materials,Binder P,Page,35,lbr_fp_s35_1r.tif; lbr_fp_s35_1v.tif; lbr_fp_s35_2r.tif; lbr_fp_s35_2v.tif; lbr_fp_s35_3r.tif; lbr_fp_s35_3v.tif; lbr_fp_s35_4r.tif; lbr_fp_s35_4v.tif,,,,Court records,"Ginsburg, Ruth Bader"
ref1716,cid4640333,Documents,Court records,"Ginsburg, Ruth Bader. Washington, DC, Signed, autographed document of Ruth Bader Ginsburg's chamber card","Signed, autographed document of Ruth Bader Ginsburg's chamber card","Ginsburg, Ruth Bader",,,"Washington, DC",1998,Drawer,Mixed materials,Montefiore,Folder,9,doc_mnt_9_1r.tif; doc_mnt_9_1v.tif; doc_mnt_9_2r.tif; doc_mnt_9_2v.tif,,,,Court records,"Ginsburg, Ruth Bader"
ref1717,cid4640332,Documents,Court records,"Gomez, Benjamin and Abraham, Jacob. New York, NY, Inquest on the suicide of a woman, signed by Jacob Abraham and Benjamin Gomez, both of whom were witnesses at the inquest","Inquest on the suicide of a woman, signed by Jacob Abraham and Benjamin Gomez, both of whom were witnesses at the inquest","Gomez, Benjamin","Abraham, Jacob",,"New York, NY",1814 March 28,Folder,Mixed materials,Binder F,Page,30,lbr_ff_s30_1r.tif; lbr_ff_s30_1v.tif; lbr_ff_s30_2r.tif; lbr_ff_s30_2v.tif,,,,Court records,"Gomez, Benjamin"
ref1718,cid4640331,Documents,Court records,"Gottschalk, Edward G. New Orleans, LA, Signed court document attesting a public instrument of protest",Signed court document attesting a public instrument of protest,"Gottschalk, Edward G.",,,"New Orleans, LA",1871 March 22,Drawer,Mixed materials,Judaica Americana,Folder,LA 132,doc_ja_la_132_1r.tif; doc_ja_la_132_1v.tif,,,,Court records,"Gottschalk, Edward G."
ref1719,cid4640330,Documents,Court records,"Gratz, Barnard. Philadelphia, PA, Court document written and signed by Thomas McKean, dealing with four Revolutionary War treason cases","Court document written and signed by Thomas McKean, dealing with four Revolutionary War treason cases","Gratz, Barnard",,,"Philadelphia, PA",1778 June 15,Drawer,Mixed materials,Gratz Family Oversize,Folder,1,doc_gfl_1_1r.tif; doc_gfl_1_1v.tif,,,,Court records,"Gratz, Barnard"
ref1720,cid4640329,Documents,Court records,"Gratz, Jacob and Gratz, Joseph. Philadelphia, PA, Power of attorney by Jacob Gratz for his brother Joseph (1785-1858) to act on his behalf in settling lands in Virginia from the estate of their father Michael (1740-1811). Signed twice by Jacob Gratz",Power of attorney by Jacob Gratz for his brother Joseph (1785-1858) to act on his behalf in settling lands in Virginia from the estate of their father Michael (1740-1811). Signed twice by Jacob Gratz,"Gratz, Jacob","Gratz, Joseph",,"Philadelphia, PA",1846 July 16,Drawer,Mixed materials,Gratz Family,Folder,29,doc_gf_29_1r.tif; doc_gf_29_1r_1.tif; doc_gf_29_1v.tif; doc_gf_29_1v_1.tif,,,,Court records,"Gratz, Jacob"
ref1721,cid4640328,Documents,Court records,"Gratz, Jacob. Philadelphia, PA, Jacob Gratz' power of attorney for his brothers Joseph (1785-1858) and Simon (1773-1839) to act on their behalf in settling lands in virginia from the estate of their father Michael (1740-1811)",Jacob Gratz' power of attorney for his brothers Joseph (1785-1858) and Simon (1773-1839) to act on their behalf in settling lands in virginia from the estate of their father Michael (1740-1811),"Gratz, Jacob",,,"Philadelphia, PA",1838 October 24,Drawer,Mixed materials,Gratz Family,Folder,52,doc_gf_52_1r.tif; doc_gf_52_1v.tif; doc_gf_52_2r.tif; doc_gf_52_2v.tif,,,,Court records,"Gratz, Jacob"
ref1722,cid4640327,Documents,Court records,"Gratz, Michael and Etting, Frank M. Philadelphia, PA, Copy of expenses for the settlement of Michael Gratz' estate, signed by Frank Etting","Copy of expenses for the settlement of Michael Gratz' estate, signed by Frank Etting","Gratz, Michael","Etting, Frank M.",,"Philadelphia, PA",1860 June 4,Drawer,Mixed materials,Gratz Family,Folder,43,doc_gf_43_1r.tif; doc_gf_43_1v.tif; doc_gf_43_2r.tif; doc_gf_43_2v.tif; doc_gf_43_3r.tif; doc_gf_43_3v.tif,,,,Court records,"Gratz, Michael"
ref1723,cid4640326,Documents,Court records,"Gratz, Michael. Philadelphia, PA, A protest note served on Michael Gratz at his home. His wife refused to take the note, therefore the debt was signed by the magistrate as uncollected","A protest note served on Michael Gratz at his home. His wife refused to take the note, therefore the debt was signed by the magistrate as uncollected","Gratz, Michael",,,"Philadelphia, PA",1795 June 5,Drawer,Mixed materials,Gratz Family,Folder,86,doc_gf_86_1r.tif; doc_gf_86_1v.tif,,,,Court records,"Gratz, Michael"
ref1724,cid4640325,Documents,Court records,"Gratz, Michael. Philadelphia, PA, Articles of agreement between Michael Gratz and Hugh Brady to sell Brady 299 acres of land and 301 arces on the Sewickley Creek for 1,052 pounds in gold","Articles of agreement between Michael Gratz and Hugh Brady to sell Brady 299 acres of land and 301 arces on the Sewickley Creek for 1,052 pounds in gold","Gratz, Michael",,,"Philadelphia, PA",1794 August 4,Drawer,Mixed materials,Gratz Family Oversize,Folder,11,doc_gfl_11_1r.tif; doc_gfl_11_1v.tif,,,,Court records,"Gratz, Michael"
ref1725,cid4640324,Documents,Court records,"Gratz, Michael. Philadelphia, PA, Record of advance to Derry Ryan of 40Â£ made by Michael Gratz, being an advance towards his commission on sale of property owned by Mr. Ryan","Record of advance to Derry Ryan of 40£ made by Michael Gratz, being an advance towards his commission on sale of property owned by Mr. Ryan","Gratz, Michael",,,"Philadelphia, PA",1796 March 21,Drawer,Mixed materials,Gratz Family,Folder,90,doc_gf_90_1r.tif; doc_gf_90_1v.tif,,,,Court records,"Gratz, Michael"
ref1726,cid4640323,Documents,Court records,"Gratz, Michael. Philadelphia, PA, Signed document allowing attorney William Lewis to act on Michael Gratz's behalf regarding a debt",Signed document allowing attorney William Lewis to act on Michael Gratz's behalf regarding a debt,"Gratz, Michael",,,"Philadelphia, PA",1787 March 2,Drawer,Mixed materials,Gratz Family Oversize,Folder,12,doc_gfl_12_1r.tif; doc_gfl_12_1v.tif,,,,Court records,"Gratz, Michael"
ref1727,cid4640322,Documents,Court records,"Gratz, Simon. Philadelphia, PA, Brief for the late Simon Gratz to the Willington Estate in Philadelphia, lately belonging to the Framers' and Mechanics' Land and Building Association","Brief for the late Simon Gratz to the Willington Estate in Philadelphia, lately belonging to the Framers' and Mechanics' Land and Building Association","Gratz, Simon",,,"Philadelphia, PA",1855,Drawer,Mixed materials,Gratz Family,Folder,71,doc_gf_71_3r.tif; doc_gf_71_3v.tif; doc_gf_71_4r.tif; doc_gf_71_4v.tif; doc_gf_71_5r.tif; doc_gf_71_5v.tif; doc_gf_71_6r.tif; doc_gf_71_6v.tif; doc_gf_71_7r.tif; doc_gf_71_7v.tif; doc_gf_71_8r.tif; doc_gf_71_8v.tif; doc_gf_71_9r.tif; doc_gf_71_9v.tif; doc_gf_71_10r.tif; doc_gf_71_10v.tif; doc_gf_71_11r.tif; doc_gf_71_11v.tif; doc_gf_71_12r.tif; doc_gf_71_12v.tif; doc_gf_71_13r.tif; doc_gf_71_13v.tif; doc_gf_71_14r.tif; doc_gf_71_14v.tif; doc_gf_71_15r.tif; doc_gf_71_15v.tif; doc_gf_71_16r.tif; doc_gf_71_16v.tif; doc_gf_71_17r.tif; doc_gf_71_17v.tif; doc_gf_71_18r.tif; doc_gf_71_18v.tif; doc_gf_71_19r.tif; doc_gf_71_19v.tif; doc_gf_71_20r.tif; doc_gf_71_20v.tif,,,,Court records,"Gratz, Simon"
ref1728,cid4640321,Documents,Court records,"Gross, Benjamin. Washington, DC, Warrant for the arrest of Thomas Sheppard, for having stolen $250 worth of shirts from Benjamin Gross","Warrant for the arrest of Thomas Sheppard, for having stolen $250 worth of shirts from Benjamin Gross","Gross, Benjamin",,,"Washington, DC",1866 December 18,Drawer,Mixed materials,Judaica Americana,Folder,DC 716,doc_ja_dc_716_1r.tif; doc_ja_dc_716_1v.tif,,,,Court records,"Gross, Benjamin"
ref1729,cid4640320,Documents,Court records,"Hart, Isaac. Newport, RI, Court record of pay assignment, signed by Hart as a witness","Court record of pay assignment, signed by Hart as a witness","Hart, Isaac",,,"Newport, RI",1792 February 6,Folder,Mixed materials,Binder J,Page,18,lbr_fj_s18_1r.tif; lbr_fj_s18_1v.tif,,,,Court records,"Hart, Isaac"
ref1730,cid4640319,Documents,Court records,"Hart, Jacob and Phillips, Robert. New York, NY, A signed coroner's inquest",A signed coroner's inquest,"Hart, Jacob","Phillips, Robert",,"New York, NY",1809 December 2,Folder,Mixed materials,Binder H,Page,4,lbr_fh_s4_1r.tif; lbr_fh_s4_1v.tif,,,,Court records,"Hart, Jacob"
ref1731,cid4640318,Documents,Court records,"Hart, Jacob. Wilkes Barre, PA, Complaint to Jacob Hart as sheriff against two men who stole a horse, saddle, sword, and two pistols","Complaint to Jacob Hart as sheriff against two men who stole a horse, saddle, sword, and two pistols","Hart, Jacob",,,"Wilkes Barre, PA",1810 October 25,Folder,Mixed materials,Binder G,Page,12,lbr_fg_s12_1r.tif; lbr_fg_s12_1v.tif; lbr_fg_s12_2r.tif; lbr_fg_s12_2v.tif; lbr_fg_s12_3r.tif; lbr_fg_s12_3v.tif,,,,Court records,"Hart, Jacob"
ref1732,cid4640317,Documents,Court records,"Hart, Michael. Newport, RI, A complaint written by five citizens about Michael Hart keeping a disorderly house on Leven Street",A complaint written by five citizens about Michael Hart keeping a disorderly house on Leven Street,"Hart, Michael",,,"Newport, RI",1854 August 1,Folder,Mixed materials,Binder P,Page,2,lbr_fp_s2_1r.tif; lbr_fp_s2_1v.tif,,,,Court records,"Hart, Michael"
ref1733,cid4640316,Documents,Court records,"Hart, Naphtali. Newport, RI, Debt instrument for money owed by Thomas and Patrick Grant to Samuel Vernon of Newport, signed by Naphtali Hart and Daniel Vernon as witnesses","Debt instrument for money owed by Thomas and Patrick Grant to Samuel Vernon of Newport, signed by Naphtali Hart and Daniel Vernon as witnesses","Hart, Naphtali",,,"Newport, RI",1745 March 12,Folder,Mixed materials,Binder G,Folder,18,lbr_fg_s18_1r.tif; lbr_fg_s18_1v.tif; lbr_fg_s18_2r.tif; lbr_fg_s18_2v.tif,,,,Court records,"Hart, Naphtali"
ref1734,cid4640315,Documents,Court records,"Hart, Samuel. Philadelphia, PA, Court document from the court of common pleas regarding the published notive of Peter Parker, insolvent debtor. It is signed by Samuel Hart, prothonotary","Court document from the court of common pleas regarding the published notive of Peter Parker, insolvent debtor. It is signed by Samuel Hart, prothonotary","Hart, Samuel",,,"Philadelphia, PA",1841 January 15,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 85,doc_ja_phil_85_1r.tif; doc_ja_phil_85_1v.tif,,,,Court records,"Hart, Samuel"
ref1735,cid4640314,Documents,Court records,"Hart, Simeon. Paterson, NJ, Court record printed and signed by Simeon Hart",Court record printed and signed by Simeon Hart,"Hart, Simeon",,,"Paterson, NJ",1843 April 29,Drawer,Mixed materials,Judaica Americana,Folder,NJ 375,doc_ja_nj_375_1r.tif; doc_ja_nj_375_1v.tif,,,,Court records,"Hart, Simeon"
ref1736,cid4640313,Documents,Court records,"Henry, Isaac and Henry, Samuel. Baltimore, MD, Summons to Isaac Henry to show cause as to why he has not returned an inventory of the debts to Samuel Henry's estate, signed by William Smith, chief justice in the orphan's court of Hartford County","Summons to Isaac Henry to show cause as to why he has not returned an inventory of the debts to Samuel Henry's estate, signed by William Smith, chief justice in the orphan's court of Hartford County","Henry, Isaac","Henry, Samuel",,"Baltimore, MD",1803 March 22,Folder,Mixed materials,Binder P,Page,15,lbr_fp_s15_1r.tif; lbr_fp_s15_1v.tif,,,,Court records,"Henry, Isaac"
ref1737,cid4640312,Documents,Court records,"Herz, Moses and Sternberger, Meyer. New York, NY, Court document concerning real estate broker fees owed to Herz, M. Sternberger and S. Sternberger. Signed by Meyer Sternberger","Court document concerning real estate broker fees owed to Herz, M. Sternberger and S. Sternberger. Signed by Meyer Sternberger","Herz, Moses","Sternberger, Meyer",,"New York, NY",1886 October 11,Drawer,Mixed materials,Judaica Americana,Folder,NYC 887,doc_ja_nyc_887_1r.tif; doc_ja_nyc_887_1v.tif; doc_ja_nyc_887_2v.tif; doc_ja_nyc_887_2v_a.tif; doc_ja_nyc_887_2v_b.tif,,,,Court records,"Herz, Moses"
ref1738,cid4640311,Documents,Court records,"Herz, Moses and Sternberger, Meyer. New York, NY, Court record of real estate broker fees owed to Herz, M. Sternberger, and S. Sternberger. Signed by Meyer and Sternberg","Court record of real estate broker fees owed to Herz, M. Sternberger, and S. Sternberger. Signed by Meyer and Sternberg","Herz, Moses","Sternberger, Meyer",,"New York, NY",1884 December 18,Drawer,Mixed materials,Judaica Americana,Folder,NYC 886,doc_ja_nyc_886_1r.tif; doc_ja_nyc_886_1v.tif; doc_ja_nyc_886_2r.tif; doc_ja_nyc_886_2v.tif;,,,,Court records,"Herz, Moses"
ref1739,cid4640310,Documents,Court records,"Hirshfeld, S. Sumter County, AL, Claim to satisfy a note for $132.00 due to S. Hirshfeld",Claim to satisfy a note for $132.00 due to S. Hirshfeld,"Hirshfeld, S.",,,"Sumter County, AL",1861 March 14,Drawer,Mixed materials,Judaica Americana,Folder,AL 6,doc_ja_al_6_1r.tif; doc_ja_al_6_1v.tif,,,,Court records,"Hirshfeld, S."
ref1740,cid4640309,Documents,Court records,"Hunt, Esther. New Orleans, LA, Notarized copy of the full estate of Esther Hunt. Signed by A. Barnett as notary",Notarized copy of the full estate of Esther Hunt. Signed by A. Barnett as notary,"Hunt, Esther",,,"New Orleans, LA",1849 August 7,Drawer,Mixed materials,Judaica Americana Oversize,Folder,7,doc_jal_7_1v.tif; doc_jal_7_2r.tif; doc_jal_7_2v.tif; doc_jal_7_3r.tif; doc_jal_7_3v.tif; doc_jal_7_4r.tif; doc_jal_7_4v.tif; doc_jal_7_5r.tif; doc_jal_7_5v.tif; doc_jal_7_6r.tif; doc_jal_7_6v.tif,,,,Court records,"Hunt, Esther"
ref1741,cid4640308,Documents,Court records,"Hurwitz, Nathan and Israel Kaufman. Philadelphia, PA, Signed contract of Nathan Hurwitz to work for Israel Kaufman for one year as a designer and pattern maker for garments manufactured by Kaufman",Signed contract of Nathan Hurwitz to work for Israel Kaufman for one year as a designer and pattern maker for garments manufactured by Kaufman,"Hurwitz, Nathan",Israel Kaufman,,"Philadelphia, PA",1896 September 25,Folder,Mixed materials,Binder I,Page,13,lbr_fi_s13_1r.tif; lbr_fi_s13_1v.tif,,,,Court records,"Hurwitz, Nathan"
